date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:37:18	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/MakerDAO/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://makerdao.com/)
08:37:18	20765/20765	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ae868b6-511d%22	https://cdnjs.cloudflare.com/ajax/libs/hammer.js/2.0.8/hammer.min.js	C:/My%20Web%20Sites/MakerDAO/cdnjs.cloudflare.com/ajax/libs/hammer.js/2.0.8/hammer.min.js	(from https://makerdao.com/)
08:37:19	95931/95931	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/js/vendor/jquery-1.11.2.min.js	C:/My%20Web%20Sites/MakerDAO/makerdao.com/js/vendor/jquery-1.11.2.min.js	(from https://makerdao.com/)
08:37:20	942/942	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/js/plugins.js	C:/My%20Web%20Sites/MakerDAO/makerdao.com/js/plugins.js	(from https://makerdao.com/)
08:37:20	3178/3178	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/js/main.js?v=3	C:/My%20Web%20Sites/MakerDAO/makerdao.com/js/main30f4.js	(from https://makerdao.com/)
08:37:20	145348/145348	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/fonts/Roboto-Regular.ttf	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/fonts/Roboto-Regular.ttf	(from https://makerdao.com/css/main.css?v=6)
08:37:21	140276/140276	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/fonts/Roboto-Light.ttf	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/fonts/Roboto-Light.ttf	(from https://makerdao.com/css/main.css?v=6)
08:37:21	135820/135820	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/fonts/Roboto-Bold.ttf	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/fonts/Roboto-Bold.ttf	(from https://makerdao.com/css/main.css?v=6)
08:37:21	145932/145932	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/fonts/Roboto-LightItalic.ttf	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/fonts/Roboto-LightItalic.ttf	(from https://makerdao.com/css/main.css?v=6)
08:37:22	53244/53244	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2016%20Aug%202018%2016:15:54%20GMT	https://makerdao.com/assets/fonts/Futura.ttf	C:/My%20Web%20Sites/MakerDAO/makerdao.com/assets/fonts/Futura.ttf	(from https://makerdao.com/css/main.css?v=6)
